# CO cross sections
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation photoionisation
6.200000e+00 5.059000e-19 0.000000e+00 5.059000e-19
6.300000e+00 5.090173e-19 0.000000e+00 5.090173e-19
6.400000e+00 5.161982e-19 0.000000e+00 5.161982e-19
6.500000e+00 5.417240e-19 0.000000e+00 5.417240e-19
6.600000e+00 5.553575e-19 0.000000e+00 5.553575e-19
6.700000e+00 5.616250e-19 0.000000e+00 5.616250e-19
6.800000e+00 5.841354e-19 0.000000e+00 5.841354e-19
6.900000e+00 6.065500e-19 0.000000e+00 6.065500e-19
7.000000e+00 6.349625e-19 0.000000e+00 6.349625e-19
7.100000e+00 6.431000e-19 0.000000e+00 6.431000e-19
7.200000e+00 6.697363e-19 0.000000e+00 6.697363e-19
7.300000e+00 6.893850e-19 0.000000e+00 6.893850e-19
7.400000e+00 7.083573e-19 0.000000e+00 7.083573e-19
7.500000e+00 7.254308e-19 0.000000e+00 7.254308e-19
7.600000e+00 7.458387e-19 0.000000e+00 7.458387e-19
7.700000e+00 7.675875e-19 0.000000e+00 7.675875e-19
7.800000e+00 7.782571e-19 0.000000e+00 7.782571e-19
7.900000e+00 9.280020e-19 0.000000e+00 9.280020e-19
8.000000e+00 9.605447e-19 0.000000e+00 9.605447e-19
8.100000e+00 8.600887e-19 0.000000e+00 8.600887e-19
8.200000e+00 8.776486e-19 0.000000e+00 8.776486e-19
8.300000e+00 9.044784e-19 0.000000e+00 9.044784e-19
8.400000e+00 9.224357e-19 0.000000e+00 9.224357e-19
8.500000e+00 9.538398e-19 0.000000e+00 9.538398e-19
8.600000e+00 9.715517e-19 0.000000e+00 9.715517e-19
8.700000e+00 9.912264e-19 0.000000e+00 9.912264e-19
8.800000e+00 1.033178e-18 0.000000e+00 1.033178e-18
8.900000e+00 1.071398e-18 0.000000e+00 1.071398e-18
9.000000e+00 1.090273e-18 0.000000e+00 1.090273e-18
9.100000e+00 1.105424e-18 0.000000e+00 1.105424e-18
9.200000e+00 1.134657e-18 0.000000e+00 1.134657e-18
9.300000e+00 1.170071e-18 0.000000e+00 1.170071e-18
9.400000e+00 1.207917e-18 0.000000e+00 1.207917e-18
9.500000e+00 1.223194e-18 0.000000e+00 1.223194e-18
9.600000e+00 1.256463e-18 0.000000e+00 1.256463e-18
9.700000e+00 1.296857e-18 0.000000e+00 1.296857e-18
9.800000e+00 1.311143e-18 0.000000e+00 1.311143e-18
9.900000e+00 1.341337e-18 0.000000e+00 1.341337e-18
1.000000e+01 1.382587e-18 0.000000e+00 1.382587e-18
1.010000e+01 1.410225e-18 0.000000e+00 1.410225e-18
1.020000e+01 1.439618e-18 0.000000e+00 1.439618e-18
1.030000e+01 1.471971e-18 0.000000e+00 1.471971e-18
1.040000e+01 1.502700e-18 0.000000e+00 1.502700e-18
1.050000e+01 1.532700e-18 0.000000e+00 1.532700e-18
1.060000e+01 1.568633e-18 0.000000e+00 1.568633e-18
1.070000e+01 1.604605e-18 0.000000e+00 1.604605e-18
1.080000e+01 1.633553e-18 0.000000e+00 1.633553e-18
1.090000e+01 1.664700e-18 0.000000e+00 1.664700e-18
1.100000e+01 1.705226e-18 0.000000e+00 1.705226e-18
1.110000e+01 1.745165e-18 0.000000e+00 1.745165e-18
1.120000e+01 1.783665e-18 0.000000e+00 1.783665e-18
1.130000e+01 1.821633e-18 0.000000e+00 1.821633e-18
1.140000e+01 1.858300e-18 0.000000e+00 1.858300e-18
1.150000e+01 1.892750e-18 0.000000e+00 1.892750e-18
1.160000e+01 1.917750e-18 0.000000e+00 1.917750e-18
1.170000e+01 1.942750e-18 0.000000e+00 1.942750e-18
1.180000e+01 1.997000e-18 0.000000e+00 1.997000e-18
1.190000e+01 2.051545e-18 0.000000e+00 2.051545e-18
1.200000e+01 2.099208e-18 0.000000e+00 2.099208e-18
1.210000e+01 2.145042e-18 0.000000e+00 2.145042e-18
1.220000e+01 2.194450e-18 0.000000e+00 2.194450e-18
1.230000e+01 2.249450e-18 0.000000e+00 2.249450e-18
1.240000e+01 2.304450e-18 0.000000e+00 2.304450e-18
1.250000e+01 2.323150e-18 0.000000e+00 2.323150e-18
1.260000e+01 2.341483e-18 0.000000e+00 2.341483e-18
1.270000e+01 2.359817e-18 0.000000e+00 2.359817e-18
1.280000e+01 2.430290e-18 0.000000e+00 2.430290e-18
1.290000e+01 2.501290e-18 0.000000e+00 2.501290e-18
1.300000e+01 2.527410e-18 0.000000e+00 2.527410e-18
1.310000e+01 2.553077e-18 0.000000e+00 2.553077e-18
1.320000e+01 2.578743e-18 0.000000e+00 2.578743e-18
1.330000e+01 2.600780e-18 0.000000e+00 2.600780e-18
1.340000e+01 2.677230e-18 0.000000e+00 2.677230e-18
1.350000e+01 2.754230e-18 0.000000e+00 2.754230e-18
1.360000e+01 2.700550e-18 0.000000e+00 2.700550e-18
1.370000e+01 2.765340e-18 0.000000e+00 2.765340e-18
1.380000e+01 2.831340e-18 0.000000e+00 2.831340e-18
1.390000e+01 2.885460e-18 0.000000e+00 2.885460e-18
1.400000e+01 2.951340e-18 0.000000e+00 2.951340e-18
1.410000e+01 3.017340e-18 0.000000e+00 3.017340e-18
1.420000e+01 3.039780e-18 0.000000e+00 3.039780e-18
1.430000e+01 3.061780e-18 0.000000e+00 3.061780e-18
1.440000e+01 3.094670e-18 0.000000e+00 3.094670e-18
1.450000e+01 3.111335e-18 0.000000e+00 3.111335e-18
1.460000e+01 3.127835e-18 0.000000e+00 3.127835e-18
1.470000e+01 3.225515e-18 0.000000e+00 3.225515e-18
