# N2 cross sections
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation photoionisation
1.160000e+01 1.780000e-18 0.000000e+00 1.780000e-18
1.170000e+01 1.820476e-18 0.000000e+00 1.820476e-18
1.180000e+01 1.860952e-18 0.000000e+00 1.860952e-18
1.190000e+01 1.901429e-18 0.000000e+00 1.901429e-18
1.200000e+01 1.941905e-18 0.000000e+00 1.941905e-18
1.210000e+01 1.982000e-18 0.000000e+00 1.982000e-18
1.220000e+01 2.022000e-18 0.000000e+00 2.022000e-18
1.230000e+01 2.062000e-18 0.000000e+00 2.062000e-18
1.240000e+01 2.102000e-18 0.000000e+00 2.102000e-18
1.250000e+01 2.142000e-18 0.000000e+00 2.142000e-18
1.260000e+01 2.185200e-18 0.000000e+00 2.185200e-18
1.270000e+01 2.229200e-18 0.000000e+00 2.229200e-18
1.280000e+01 2.273200e-18 0.000000e+00 2.273200e-18
1.290000e+01 2.317200e-18 0.000000e+00 2.317200e-18
1.300000e+01 2.361200e-18 0.000000e+00 2.361200e-18
1.310000e+01 2.400400e-18 0.000000e+00 2.400400e-18
1.320000e+01 2.438400e-18 0.000000e+00 2.438400e-18
1.330000e+01 2.476400e-18 0.000000e+00 2.476400e-18
1.340000e+01 2.514400e-18 0.000000e+00 2.514400e-18
1.350000e+01 2.552400e-18 0.000000e+00 2.552400e-18
1.360000e+01 2.593600e-18 0.000000e+00 2.593600e-18
1.370000e+01 2.635600e-18 0.000000e+00 2.635600e-18
1.380000e+01 2.677600e-18 0.000000e+00 2.677600e-18
1.390000e+01 2.719600e-18 0.000000e+00 2.719600e-18
1.400000e+01 2.761600e-18 0.000000e+00 2.761600e-18
1.410000e+01 2.803600e-18 0.000000e+00 2.803600e-18
1.420000e+01 2.845600e-18 0.000000e+00 2.845600e-18
1.430000e+01 2.887600e-18 0.000000e+00 2.887600e-18
1.440000e+01 2.929600e-18 0.000000e+00 2.929600e-18
1.450000e+01 2.971600e-18 0.000000e+00 2.971600e-18
1.460000e+01 3.016800e-18 0.000000e+00 3.016800e-18
1.470000e+01 3.062800e-18 0.000000e+00 3.062800e-18
1.480000e+01 3.108800e-18 0.000000e+00 3.108800e-18
1.490000e+01 3.154800e-18 0.000000e+00 3.154800e-18
1.500000e+01 3.200800e-18 0.000000e+00 3.200800e-18
1.510000e+01 3.250000e-18 0.000000e+00 3.250000e-18
1.520000e+01 3.300000e-18 0.000000e+00 3.300000e-18
1.530000e+01 3.350000e-18 0.000000e+00 3.350000e-18
1.540000e+01 3.400000e-18 0.000000e+00 3.400000e-18
1.550000e+01 3.450000e-18 0.000000e+00 3.450000e-18
1.560000e+01 3.500000e-18 0.000000e+00 3.500000e-18
1.570000e+01 3.550000e-18 0.000000e+00 3.550000e-18
1.580000e+01 3.600000e-18 0.000000e+00 3.600000e-18
1.590000e+01 3.650000e-18 0.000000e+00 3.650000e-18
1.600000e+01 3.700000e-18 0.000000e+00 3.700000e-18
1.610000e+01 3.751600e-18 0.000000e+00 3.751600e-18
1.620000e+01 3.803600e-18 0.000000e+00 3.803600e-18
1.630000e+01 3.855600e-18 0.000000e+00 3.855600e-18
1.640000e+01 3.907600e-18 0.000000e+00 3.907600e-18
1.650000e+01 3.959600e-18 0.000000e+00 3.959600e-18
1.660000e+01 4.013200e-18 0.000000e+00 4.013200e-18
1.670000e+01 4.067200e-18 0.000000e+00 4.067200e-18
1.680000e+01 4.121200e-18 0.000000e+00 4.121200e-18
1.690000e+01 4.175200e-18 0.000000e+00 4.175200e-18
1.700000e+01 4.229200e-18 0.000000e+00 4.229200e-18
1.710000e+01 4.283200e-18 0.000000e+00 4.283200e-18
1.720000e+01 4.337200e-18 0.000000e+00 4.337200e-18
1.730000e+01 4.391200e-18 0.000000e+00 4.391200e-18
1.740000e+01 4.445200e-18 0.000000e+00 4.445200e-18
1.750000e+01 4.499200e-18 0.000000e+00 4.499200e-18
1.760000e+01 4.558000e-18 0.000000e+00 4.558000e-18
1.770000e+01 4.618000e-18 0.000000e+00 4.618000e-18
