# AlH cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 1.032628e-22 0.000000e+00 1.032628e-22
9.220000e+01 1.756034e-22 0.000000e+00 1.756034e-22
9.320000e+01 2.945108e-22 0.000000e+00 2.945108e-22
9.420000e+01 4.871346e-22 0.000000e+00 4.871346e-22
9.520000e+01 7.946505e-22 0.000000e+00 7.946505e-22
9.620000e+01 1.278447e-21 0.000000e+00 1.278447e-21
9.720000e+01 2.028471e-21 0.000000e+00 2.028471e-21
9.820000e+01 3.174199e-21 0.000000e+00 3.174199e-21
9.920000e+01 4.898678e-21 0.000000e+00 4.898678e-21
1.002000e+02 7.455951e-21 0.000000e+00 7.455951e-21
1.012000e+02 1.119197e-20 0.000000e+00 1.119197e-20
1.022000e+02 1.656874e-20 0.000000e+00 1.656874e-20
1.032000e+02 2.419090e-20 0.000000e+00 2.419090e-20
1.042000e+02 3.483323e-20 0.000000e+00 3.483323e-20
1.052000e+02 4.946693e-20 0.000000e+00 4.946693e-20
1.062000e+02 6.928122e-20 0.000000e+00 6.928122e-20
1.072000e+02 9.569638e-20 0.000000e+00 9.569638e-20
1.082000e+02 1.303632e-19 0.000000e+00 1.303632e-19
1.092000e+02 1.751433e-19 0.000000e+00 1.751433e-19
1.102000e+02 2.320662e-19 0.000000e+00 2.320662e-19
1.112000e+02 3.032560e-19 0.000000e+00 3.032560e-19
1.122000e+02 3.908286e-19 0.000000e+00 3.908286e-19
1.132000e+02 4.967556e-19 0.000000e+00 4.967556e-19
1.142000e+02 6.226995e-19 0.000000e+00 6.226995e-19
1.152000e+02 7.698280e-19 0.000000e+00 7.698280e-19
1.162000e+02 9.386167e-19 0.000000e+00 9.386167e-19
1.172000e+02 1.128658e-18 0.000000e+00 1.128658e-18
1.182000e+02 1.338492e-18 0.000000e+00 1.338492e-18
1.192000e+02 1.565483e-18 0.000000e+00 1.565483e-18
1.202000e+02 1.805762e-18 0.000000e+00 1.805762e-18
1.212000e+02 2.054245e-18 0.000000e+00 2.054245e-18
1.222000e+02 2.304747e-18 0.000000e+00 2.304747e-18
1.232000e+02 2.550196e-18 0.000000e+00 2.550196e-18
1.242000e+02 2.782937e-18 0.000000e+00 2.782937e-18
1.252000e+02 2.995108e-18 0.000000e+00 2.995108e-18
1.262000e+02 3.179077e-18 0.000000e+00 3.179077e-18
1.272000e+02 3.327891e-18 0.000000e+00 3.327891e-18
1.282000e+02 3.435710e-18 0.000000e+00 3.435710e-18
1.292000e+02 3.498189e-18 0.000000e+00 3.498189e-18
1.302000e+02 3.512768e-18 0.000000e+00 3.512768e-18
1.312000e+02 3.478844e-18 0.000000e+00 3.478844e-18
1.322000e+02 3.397817e-18 0.000000e+00 3.397817e-18
1.332000e+02 3.272988e-18 0.000000e+00 3.272988e-18
1.342000e+02 3.109339e-18 0.000000e+00 3.109339e-18
1.352000e+02 2.913207e-18 0.000000e+00 2.913207e-18
1.362000e+02 2.691869e-18 0.000000e+00 2.691869e-18
1.372000e+02 2.453103e-18 0.000000e+00 2.453103e-18
1.382000e+02 2.204739e-18 0.000000e+00 2.204739e-18
1.392000e+02 1.954241e-18 0.000000e+00 1.954241e-18
1.402000e+02 1.708355e-18 0.000000e+00 1.708355e-18
1.412000e+02 1.472848e-18 0.000000e+00 1.472848e-18
1.422000e+02 1.252324e-18 0.000000e+00 1.252324e-18
1.432000e+02 1.050159e-18 0.000000e+00 1.050159e-18
1.442000e+02 8.685062e-19 0.000000e+00 8.685062e-19
1.452000e+02 7.083862e-19 0.000000e+00 7.083862e-19
1.462000e+02 5.698318e-19 0.000000e+00 5.698318e-19
1.472000e+02 4.520669e-19 0.000000e+00 4.520669e-19
1.482000e+02 3.537025e-19 0.000000e+00 3.537025e-19
1.492000e+02 2.729311e-19 0.000000e+00 2.729311e-19
1.502000e+02 2.077053e-19 0.000000e+00 2.077053e-19
1.512000e+02 1.558914e-19 0.000000e+00 1.558914e-19
1.522000e+02 1.153925e-19 0.000000e+00 1.153925e-19
1.532000e+02 8.423972e-20 0.000000e+00 8.423972e-20
1.542000e+02 6.065221e-20 0.000000e+00 6.065221e-20
1.552000e+02 4.307101e-20 0.000000e+00 4.307101e-20
1.562000e+02 3.017036e-20 0.000000e+00 3.017036e-20
1.572000e+02 2.085258e-20 2.085258e-20 0.000000e+00
1.582000e+02 1.423170e-20 1.423170e-20 0.000000e+00
1.592000e+02 9.610519e-21 9.610519e-21 0.000000e+00
1.602000e+02 6.455037e-21 6.455037e-21 0.000000e+00
1.612000e+02 4.369404e-21 4.369404e-21 0.000000e+00
1.622000e+02 3.073724e-21 3.073724e-21 0.000000e+00
1.632000e+02 2.386328e-21 2.386328e-21 0.000000e+00
1.642000e+02 2.211754e-21 2.211754e-21 0.000000e+00
1.652000e+02 2.535297e-21 2.535297e-21 0.000000e+00
1.662000e+02 3.424891e-21 3.424891e-21 0.000000e+00
