# C2H cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
1.169000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.179000e+02 2.695233e-22 2.695233e-22 0.000000e+00
1.189000e+02 1.922119e-18 1.922119e-18 0.000000e+00
1.199000e+02 5.354565e-17 5.354565e-17 0.000000e+00
1.209000e+02 5.835096e-18 5.835096e-18 0.000000e+00
1.219000e+02 2.739674e-17 2.739674e-17 0.000000e+00
1.229000e+02 3.601078e-16 3.601078e-16 0.000000e+00
1.239000e+02 3.341030e-17 3.341030e-17 0.000000e+00
1.249000e+02 1.659611e-17 1.659611e-17 0.000000e+00
1.259000e+02 9.036738e-20 9.036738e-20 0.000000e+00
1.269000e+02 1.923207e-24 1.923207e-24 0.000000e+00
1.279000e+02 6.220128e-28 6.220128e-28 0.000000e+00
1.289000e+02 6.522277e-22 6.522277e-22 0.000000e+00
1.299000e+02 2.671525e-18 2.671525e-18 0.000000e+00
1.309000e+02 4.274440e-17 4.274440e-17 0.000000e+00
1.319000e+02 2.671525e-18 2.671525e-18 0.000000e+00
1.329000e+02 6.522277e-22 6.522277e-22 0.000000e+00
1.339000e+02 1.596615e-27 1.596615e-27 0.000000e+00
1.349000e+02 1.172224e-26 1.172224e-26 0.000000e+00
1.359000e+02 4.417428e-21 4.417428e-21 0.000000e+00
1.369000e+02 6.821970e-18 6.821970e-18 0.000000e+00
1.379000e+02 4.384756e-17 4.384756e-17 0.000000e+00
1.389000e+02 1.185485e-18 1.185485e-18 0.000000e+00
1.399000e+02 1.349425e-22 1.349425e-22 0.000000e+00
1.409000e+02 6.765420e-29 6.765420e-29 0.000000e+00
1.419000e+02 1.553473e-23 1.553473e-23 0.000000e+00
1.429000e+02 1.463923e-20 1.463923e-20 0.000000e+00
1.439000e+02 5.748683e-20 5.748683e-20 0.000000e+00
1.449000e+02 9.501182e-22 9.501182e-22 0.000000e+00
1.459000e+02 1.381005e-20 1.381005e-20 0.000000e+00
1.469000e+02 2.380200e-17 2.380200e-17 0.000000e+00
1.479000e+02 1.706894e-16 1.706894e-16 0.000000e+00
1.489000e+02 5.148243e-18 5.148243e-18 0.000000e+00
1.499000e+02 6.538114e-22 6.538114e-22 0.000000e+00
1.509000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.519000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.529000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.539000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.549000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.559000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.569000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.579000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.589000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.599000e+02 2.584728e-25 2.584728e-25 0.000000e+00
1.609000e+02 2.312912e-20 2.312912e-20 0.000000e+00
1.619000e+02 8.680006e-18 8.680006e-18 0.000000e+00
1.629000e+02 1.348362e-17 1.348362e-17 0.000000e+00
1.639000e+02 8.534059e-20 8.534059e-20 0.000000e+00
1.649000e+02 2.170147e-24 2.170147e-24 0.000000e+00
1.659000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.669000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.679000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.689000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.699000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.709000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.719000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.729000e+02 1.707103e-27 1.707103e-27 0.000000e+00
1.739000e+02 3.391467e-22 3.391467e-22 0.000000e+00
1.749000e+02 2.631937e-19 2.631937e-19 0.000000e+00
1.759000e+02 7.978541e-19 7.978541e-19 0.000000e+00
1.769000e+02 9.447818e-21 9.447818e-21 0.000000e+00
1.779000e+02 4.370183e-25 4.370183e-25 0.000000e+00
