# CH3 cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 7.443940e-18 0.000000e+00 7.443940e-18
9.220000e+01 7.443940e-18 0.000000e+00 7.443940e-18
9.320000e+01 7.443940e-18 0.000000e+00 7.443940e-18
9.420000e+01 7.443940e-18 0.000000e+00 7.443940e-18
9.520000e+01 7.443940e-18 0.000000e+00 7.443940e-18
9.620000e+01 7.443940e-18 0.000000e+00 7.443940e-18
9.720000e+01 7.443940e-18 0.000000e+00 7.443940e-18
9.820000e+01 7.443940e-18 0.000000e+00 7.443940e-18
9.920000e+01 7.443940e-18 0.000000e+00 7.443940e-18
1.002000e+02 7.443940e-18 0.000000e+00 7.443940e-18
1.012000e+02 7.443940e-18 0.000000e+00 7.443940e-18
1.022000e+02 7.443940e-18 0.000000e+00 7.443940e-18
1.032000e+02 7.443940e-18 0.000000e+00 7.443940e-18
1.042000e+02 7.443940e-18 0.000000e+00 7.443940e-18
1.052000e+02 7.443940e-18 0.000000e+00 7.443940e-18
1.062000e+02 7.443940e-18 0.000000e+00 7.443940e-18
1.072000e+02 7.443940e-18 0.000000e+00 7.443940e-18
1.082000e+02 7.495572e-18 0.000000e+00 7.495572e-18
1.092000e+02 7.572481e-18 0.000000e+00 7.572481e-18
1.102000e+02 7.201478e-18 0.000000e+00 7.201478e-18
1.112000e+02 6.908237e-18 0.000000e+00 6.908237e-18
1.122000e+02 6.821399e-18 0.000000e+00 6.821399e-18
1.132000e+02 7.234587e-18 0.000000e+00 7.234587e-18
1.142000e+02 6.964741e-18 1.725981e-307 6.964741e-18
1.152000e+02 6.793766e-18 2.563304e-271 6.793766e-18
1.162000e+02 7.112684e-18 1.487046e-237 7.112684e-18
1.172000e+02 6.856634e-18 3.369837e-206 6.856634e-18
1.182000e+02 6.772515e-18 2.983000e-177 6.772515e-18
1.192000e+02 6.373606e-18 1.031473e-150 6.373606e-18
1.202000e+02 6.383486e-18 1.393228e-126 6.383486e-18
1.212000e+02 5.625384e-18 7.351003e-105 5.625384e-18
1.222000e+02 4.978662e-18 1.515064e-85 4.978662e-18
1.232000e+02 4.855392e-18 1.219764e-68 4.855392e-18
1.242000e+02 4.166462e-18 3.836015e-54 4.166462e-18
1.252000e+02 3.505056e-18 4.712430e-42 3.505056e-18
1.262000e+02 1.514432e-18 2.261359e-32 1.514432e-18
1.272000e+02 4.692585e-19 4.238911e-25 4.692581e-19
1.282000e+02 3.068924e-19 3.103838e-20 2.758541e-19
1.292000e+02 9.036593e-18 8.878595e-18 1.579974e-19
1.302000e+02 1.241063e-17 1.235138e-17 5.924986e-20
1.312000e+02 2.802575e-17 2.794651e-17 7.924316e-20
1.322000e+02 1.435582e-18 1.383269e-18 5.231242e-20
1.332000e+02 1.851158e-17 1.848620e-17 2.538168e-20
1.342000e+02 1.004620e-17 1.004468e-17 1.525677e-21
1.352000e+02 2.240914e-20 2.132012e-20 1.089022e-21
1.362000e+02 9.933974e-22 3.346132e-22 6.587842e-22
1.372000e+02 1.990575e-18 1.990341e-18 2.348585e-22
1.382000e+02 6.355249e-17 6.355249e-17 0.000000e+00
1.392000e+02 1.514794e-17 1.514794e-17 0.000000e+00
1.402000e+02 2.268478e-20 2.268478e-20 0.000000e+00
1.412000e+02 1.535452e-25 1.535452e-25 0.000000e+00
1.422000e+02 4.182702e-33 4.182702e-33 0.000000e+00
1.432000e+02 4.475283e-43 4.475283e-43 0.000000e+00
1.442000e+02 3.545647e-53 3.545647e-53 0.000000e+00
1.452000e+02 3.297274e-41 3.297274e-41 0.000000e+00
1.462000e+02 1.215082e-31 1.215082e-31 0.000000e+00
1.472000e+02 1.798773e-24 1.798773e-24 0.000000e+00
1.482000e+02 1.127762e-19 1.127762e-19 0.000000e+00
1.492000e+02 3.374929e-17 3.374929e-17 0.000000e+00
1.502000e+02 6.179375e-17 6.179375e-17 0.000000e+00
1.512000e+02 1.377488e-18 1.377488e-18 0.000000e+00
1.522000e+02 3.965455e-22 3.965455e-22 0.000000e+00
1.532000e+02 5.999384e-28 5.999384e-28 0.000000e+00
1.542000e+02 3.667328e-36 3.667328e-36 0.000000e+00
1.552000e+02 8.787032e-47 8.787032e-47 0.000000e+00
1.562000e+02 8.227097e-60 8.227097e-60 0.000000e+00
