# CO cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 3.058338e-17 3.056930e-17 0.000000e+00
9.220000e+01 2.110574e-17 2.110149e-17 0.000000e+00
9.320000e+01 1.000155e-16 9.999898e-17 0.000000e+00
9.420000e+01 1.126352e-16 1.124173e-16 0.000000e+00
9.520000e+01 5.149882e-19 5.148702e-19 0.000000e+00
9.620000e+01 5.767462e-20 5.764423e-20 0.000000e+00
9.720000e+01 5.942863e-17 5.904056e-17 0.000000e+00
9.820000e+01 1.993101e-18 1.992703e-18 0.000000e+00
9.920000e+01 3.206290e-20 3.205669e-20 0.000000e+00
1.002000e+02 3.184514e-17 3.183877e-17 0.000000e+00
1.012000e+02 5.161545e-21 5.159537e-21 0.000000e+00
1.022000e+02 2.472786e-21 2.471271e-21 0.000000e+00
1.032000e+02 1.571551e-21 1.569892e-21 0.000000e+00
1.042000e+02 9.519585e-22 9.492202e-22 0.000000e+00
1.052000e+02 1.652609e-17 1.594769e-17 0.000000e+00
1.062000e+02 6.927563e-18 3.882392e-18 0.000000e+00
1.072000e+02 7.540329e-22 6.567181e-22 0.000000e+00
1.082000e+02 2.887598e-17 0.000000e+00 0.000000e+00
1.092000e+02 4.486442e-17 0.000000e+00 0.000000e+00
1.102000e+02 3.718685e-19 0.000000e+00 0.000000e+00
1.112000e+02 1.219118e-19 0.000000e+00 0.000000e+00
1.122000e+02 8.321057e-19 0.000000e+00 0.000000e+00
1.132000e+02 3.614723e-19 0.000000e+00 0.000000e+00
1.142000e+02 1.390550e-19 0.000000e+00 0.000000e+00
1.152000e+02 7.821552e-18 0.000000e+00 0.000000e+00
1.162000e+02 4.013668e-19 0.000000e+00 0.000000e+00
1.172000e+02 5.120485e-19 0.000000e+00 0.000000e+00
1.182000e+02 1.239508e-20 0.000000e+00 0.000000e+00
1.192000e+02 1.005142e-20 0.000000e+00 0.000000e+00
1.202000e+02 1.888396e-20 0.000000e+00 0.000000e+00
1.212000e+02 4.522472e-20 0.000000e+00 0.000000e+00
1.222000e+02 3.611258e-20 0.000000e+00 0.000000e+00
1.232000e+02 9.667009e-20 0.000000e+00 0.000000e+00
1.242000e+02 5.278337e-20 0.000000e+00 0.000000e+00
1.252000e+02 6.067738e-20 0.000000e+00 0.000000e+00
1.262000e+02 1.523289e-19 0.000000e+00 0.000000e+00
1.272000e+02 7.680879e-20 0.000000e+00 0.000000e+00
1.282000e+02 3.946934e-19 0.000000e+00 0.000000e+00
1.292000e+02 2.595924e-20 0.000000e+00 0.000000e+00
1.302000e+02 1.506323e-18 0.000000e+00 0.000000e+00
1.312000e+02 1.989893e-19 0.000000e+00 0.000000e+00
1.322000e+02 3.266967e-18 0.000000e+00 0.000000e+00
1.332000e+02 4.435941e-19 0.000000e+00 0.000000e+00
1.342000e+02 3.713480e-18 0.000000e+00 0.000000e+00
1.352000e+02 1.380851e-18 0.000000e+00 0.000000e+00
1.362000e+02 3.154881e-18 0.000000e+00 0.000000e+00
1.372000e+02 7.820226e-18 0.000000e+00 0.000000e+00
1.382000e+02 1.616580e-18 0.000000e+00 0.000000e+00
1.392000e+02 2.539724e-17 0.000000e+00 0.000000e+00
1.402000e+02 3.439828e-18 0.000000e+00 0.000000e+00
1.412000e+02 9.785151e-18 0.000000e+00 0.000000e+00
1.422000e+02 3.647328e-17 0.000000e+00 0.000000e+00
1.432000e+02 2.901206e-18 0.000000e+00 0.000000e+00
1.442000e+02 1.953469e-17 0.000000e+00 0.000000e+00
1.452000e+02 3.592433e-17 0.000000e+00 0.000000e+00
1.462000e+02 3.464076e-18 0.000000e+00 0.000000e+00
1.472000e+02 2.516668e-17 0.000000e+00 0.000000e+00
1.482000e+02 4.576771e-17 0.000000e+00 0.000000e+00
1.492000e+02 3.200907e-18 0.000000e+00 0.000000e+00
1.502000e+02 8.686943e-18 0.000000e+00 0.000000e+00
1.512000e+02 5.961156e-17 0.000000e+00 0.000000e+00
1.522000e+02 5.225549e-18 0.000000e+00 0.000000e+00
1.532000e+02 2.107098e-18 0.000000e+00 0.000000e+00
1.542000e+02 2.317444e-17 0.000000e+00 0.000000e+00
1.552000e+02 9.094082e-18 0.000000e+00 0.000000e+00
1.562000e+02 6.198899e-19 0.000000e+00 0.000000e+00
1.572000e+02 1.647197e-19 0.000000e+00 0.000000e+00
1.582000e+02 8.091487e-20 0.000000e+00 0.000000e+00
1.592000e+02 7.265259e-20 0.000000e+00 0.000000e+00
1.602000e+02 7.761320e-20 0.000000e+00 0.000000e+00
1.612000e+02 2.700642e-20 0.000000e+00 0.000000e+00
1.622000e+02 8.734949e-20 0.000000e+00 0.000000e+00
1.632000e+02 9.912039e-21 0.000000e+00 0.000000e+00
1.642000e+02 1.018204e-19 0.000000e+00 0.000000e+00
1.652000e+02 1.099315e-21 0.000000e+00 0.000000e+00
1.662000e+02 3.786996e-20 0.000000e+00 0.000000e+00
