# H2 cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 7.989161e-18 4.999362e-18 0.000000e+00
9.220000e+01 1.491893e-18 8.053609e-19 0.000000e+00
9.320000e+01 5.173744e-17 1.509324e-17 0.000000e+00
9.420000e+01 4.507392e-18 2.518890e-18 0.000000e+00
9.520000e+01 4.252556e-18 9.041665e-20 0.000000e+00
9.620000e+01 1.420242e-17 7.374510e-18 0.000000e+00
9.720000e+01 4.906181e-17 1.973474e-17 0.000000e+00
9.820000e+01 6.113277e-17 2.507350e-17 0.000000e+00
9.920000e+01 8.364070e-17 3.269412e-17 0.000000e+00
1.002000e+02 6.639496e-17 2.153476e-17 0.000000e+00
1.012000e+02 4.813075e-17 7.262529e-18 0.000000e+00
1.022000e+02 5.779719e-21 1.373907e-21 0.000000e+00
1.032000e+02 3.883250e-18 1.936973e-19 0.000000e+00
1.042000e+02 4.647279e-18 1.065670e-19 0.000000e+00
1.052000e+02 3.242967e-17 4.264462e-20 0.000000e+00
1.062000e+02 2.306586e-17 3.748343e-21 0.000000e+00
1.072000e+02 1.780652e-21 5.151448e-24 0.000000e+00
1.082000e+02 7.732288e-18 1.031041e-22 0.000000e+00
1.092000e+02 1.659431e-17 1.844894e-24 0.000000e+00
1.102000e+02 4.285080e-23 1.765155e-25 0.000000e+00
1.112000e+02 1.174221e-18 9.508929e-26 0.000000e+00
1.122000e+02 7.877431e-24 2.345803e-26 0.000000e+00
1.132000e+02 1.359428e-22 8.040576e-27 0.000000e+00
1.142000e+02 2.092345e-24 8.286465e-28 0.000000e+00
1.152000e+02 1.272381e-24 1.645770e-28 0.000000e+00
1.162000e+02 9.037692e-25 5.757156e-29 0.000000e+00
1.172000e+02 4.848518e-25 3.374492e-30 0.000000e+00
1.182000e+02 2.154843e-25 1.816066e-31 0.000000e+00
1.192000e+02 1.466280e-25 1.332574e-32 0.000000e+00
