# HCl+ cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 1.046740e-17 1.046740e-17 0.000000e+00
9.220000e+01 1.131162e-17 1.131162e-17 0.000000e+00
9.320000e+01 1.131708e-17 1.131708e-17 0.000000e+00
9.420000e+01 1.061748e-17 1.061748e-17 0.000000e+00
9.520000e+01 9.475043e-18 9.475043e-18 0.000000e+00
9.620000e+01 8.021158e-18 8.021158e-18 0.000000e+00
9.720000e+01 6.467132e-18 6.467132e-18 0.000000e+00
9.820000e+01 5.020505e-18 5.020505e-18 0.000000e+00
9.920000e+01 3.880992e-18 3.880992e-18 0.000000e+00
1.002000e+02 2.992485e-18 2.992485e-18 0.000000e+00
1.012000e+02 2.296020e-18 2.296020e-18 0.000000e+00
1.022000e+02 1.754606e-18 1.754606e-18 0.000000e+00
1.032000e+02 1.290485e-18 1.290485e-18 0.000000e+00
1.042000e+02 1.009768e-18 1.009768e-18 0.000000e+00
1.052000e+02 7.900585e-19 7.900585e-19 0.000000e+00
1.062000e+02 6.599983e-19 6.599983e-19 0.000000e+00
1.072000e+02 5.707613e-19 5.707613e-19 0.000000e+00
1.082000e+02 5.237502e-19 5.237502e-19 0.000000e+00
1.092000e+02 5.056336e-19 5.056336e-19 0.000000e+00
1.102000e+02 4.548195e-19 4.548195e-19 0.000000e+00
1.112000e+02 4.662496e-19 4.662496e-19 0.000000e+00
1.122000e+02 5.103375e-19 5.103375e-19 0.000000e+00
1.132000e+02 5.551603e-19 5.551603e-19 0.000000e+00
1.142000e+02 5.952058e-19 5.952058e-19 0.000000e+00
1.152000e+02 6.454103e-19 6.454103e-19 0.000000e+00
1.162000e+02 6.891768e-19 6.891768e-19 0.000000e+00
1.172000e+02 7.322471e-19 7.322471e-19 0.000000e+00
1.182000e+02 7.666399e-19 7.666399e-19 0.000000e+00
1.192000e+02 7.943984e-19 7.943984e-19 0.000000e+00
1.202000e+02 8.193530e-19 8.193530e-19 0.000000e+00
1.212000e+02 8.369325e-19 8.369325e-19 0.000000e+00
1.222000e+02 8.523975e-19 8.523975e-19 0.000000e+00
1.232000e+02 8.577936e-19 8.577936e-19 0.000000e+00
1.242000e+02 8.614283e-19 8.614283e-19 0.000000e+00
1.252000e+02 8.633093e-19 8.633093e-19 0.000000e+00
1.262000e+02 8.549215e-19 8.549215e-19 0.000000e+00
1.272000e+02 8.414078e-19 8.414078e-19 0.000000e+00
1.282000e+02 8.265776e-19 8.265776e-19 0.000000e+00
1.292000e+02 8.076847e-19 8.076847e-19 0.000000e+00
1.302000e+02 7.866414e-19 7.866414e-19 0.000000e+00
1.312000e+02 7.604976e-19 7.604976e-19 0.000000e+00
1.322000e+02 7.296980e-19 7.296980e-19 0.000000e+00
1.332000e+02 7.032777e-19 7.032777e-19 0.000000e+00
1.342000e+02 6.634216e-19 6.634216e-19 0.000000e+00
1.352000e+02 6.295221e-19 6.295221e-19 0.000000e+00
1.362000e+02 5.944292e-19 5.944292e-19 0.000000e+00
1.372000e+02 5.626525e-19 5.626525e-19 0.000000e+00
1.382000e+02 5.238239e-19 5.238239e-19 0.000000e+00
1.392000e+02 4.912981e-19 4.912981e-19 0.000000e+00
1.402000e+02 4.571156e-19 4.571156e-19 0.000000e+00
1.412000e+02 4.236504e-19 4.236504e-19 0.000000e+00
1.422000e+02 3.954024e-19 3.954024e-19 0.000000e+00
1.432000e+02 3.652642e-19 3.652642e-19 0.000000e+00
1.442000e+02 3.341398e-19 3.341398e-19 0.000000e+00
1.452000e+02 3.089710e-19 3.089710e-19 0.000000e+00
1.462000e+02 2.779055e-19 2.779055e-19 0.000000e+00
1.472000e+02 2.503425e-19 2.503425e-19 0.000000e+00
1.482000e+02 2.357766e-19 2.357766e-19 0.000000e+00
1.492000e+02 2.124565e-19 2.124565e-19 0.000000e+00
1.502000e+02 1.870731e-19 1.870731e-19 0.000000e+00
1.512000e+02 1.700923e-19 1.700923e-19 0.000000e+00
1.522000e+02 1.509426e-19 1.509426e-19 0.000000e+00
1.532000e+02 1.325673e-19 1.325673e-19 0.000000e+00
1.542000e+02 1.188689e-19 1.188689e-19 0.000000e+00
1.552000e+02 1.056985e-19 1.056985e-19 0.000000e+00
1.562000e+02 9.265669e-20 9.265669e-20 0.000000e+00
1.572000e+02 8.431434e-20 8.431434e-20 0.000000e+00
1.582000e+02 7.253207e-20 7.253207e-20 0.000000e+00
1.592000e+02 6.546607e-20 6.546607e-20 0.000000e+00
1.602000e+02 5.651529e-20 5.651529e-20 0.000000e+00
1.612000e+02 4.834882e-20 4.834882e-20 0.000000e+00
1.622000e+02 4.318463e-20 4.318463e-20 0.000000e+00
1.632000e+02 3.774114e-20 3.774114e-20 0.000000e+00
1.642000e+02 3.229766e-20 3.229766e-20 0.000000e+00
1.652000e+02 2.785723e-20 2.785723e-20 0.000000e+00
1.662000e+02 2.378718e-20 2.378718e-20 0.000000e+00
1.672000e+02 1.997342e-20 1.997342e-20 0.000000e+00
1.682000e+02 1.691900e-20 1.691900e-20 0.000000e+00
1.692000e+02 1.534144e-20 1.534144e-20 0.000000e+00
1.702000e+02 1.054054e-20 1.054054e-20 0.000000e+00
1.712000e+02 9.159344e-21 9.159344e-21 0.000000e+00
1.722000e+02 8.199579e-21 8.199579e-21 0.000000e+00
1.732000e+02 6.512000e-21 6.512000e-21 0.000000e+00
1.742000e+02 3.622340e-21 3.622340e-21 0.000000e+00
1.752000e+02 1.819540e-21 1.819540e-21 0.000000e+00
1.762000e+02 1.272952e-21 1.272952e-21 0.000000e+00
