# NO2 cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 1.005000e-17 5.000000e-20 1.000000e-17
9.220000e+01 1.005000e-17 5.000000e-20 1.000000e-17
9.320000e+01 1.005000e-17 5.000000e-20 1.000000e-17
9.420000e+01 1.005000e-17 5.000000e-20 1.000000e-17
9.520000e+01 1.005000e-17 5.000000e-20 1.000000e-17
9.620000e+01 1.005000e-17 5.000000e-20 1.000000e-17
9.720000e+01 1.005000e-17 5.000000e-20 1.000000e-17
9.820000e+01 1.005000e-17 5.000000e-20 1.000000e-17
9.920000e+01 2.593056e-17 1.593056e-17 1.000000e-17
1.002000e+02 9.391533e-17 8.408199e-17 9.833333e-18
1.012000e+02 1.073354e-17 1.733545e-18 9.000000e-18
1.022000e+02 8.216667e-18 5.000000e-20 8.166667e-18
1.032000e+02 7.383333e-18 5.000000e-20 7.333333e-18
1.042000e+02 6.550000e-18 5.000000e-20 6.500000e-18
1.052000e+02 5.716667e-18 5.000000e-20 5.666667e-18
1.062000e+02 4.870000e-18 5.000000e-20 4.820000e-18
1.072000e+02 1.045153e-17 6.531529e-18 3.920000e-18
1.082000e+02 3.765362e-17 3.447362e-17 3.180000e-18
1.092000e+02 3.790753e-18 7.107533e-19 3.080000e-18
1.102000e+02 2.970000e-18 5.000000e-20 2.920000e-18
1.112000e+02 2.570000e-18 5.000000e-20 2.520000e-18
1.122000e+02 2.104000e-18 5.000000e-20 2.054000e-18
1.132000e+02 1.374000e-18 5.000000e-20 1.324000e-18
1.142000e+02 1.169509e-17 1.099209e-17 7.030000e-19
1.152000e+02 5.853457e-17 5.801657e-17 5.180000e-19
1.162000e+02 1.555146e-18 1.196146e-18 3.590000e-19
1.172000e+02 3.540000e-19 5.000000e-20 3.040000e-19
1.182000e+02 3.040000e-19 5.000000e-20 2.540000e-19
1.192000e+02 2.740000e-19 5.000000e-20 2.240000e-19
1.202000e+02 2.380000e-19 5.000000e-20 1.880000e-19
1.212000e+02 1.780000e-19 5.000000e-20 1.280000e-19
1.222000e+02 1.257000e-19 5.000000e-20 7.570000e-20
1.232000e+02 1.042000e-19 5.000000e-20 5.420000e-20
1.242000e+02 2.090443e-17 2.086903e-17 3.540000e-20
1.252000e+02 1.101728e-16 1.101474e-16 2.540000e-20
1.262000e+02 2.279743e-18 2.270943e-18 8.800000e-21
1.272000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.282000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.292000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.302000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.312000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.322000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.332000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.342000e+02 1.003625e-17 1.003625e-17 0.000000e+00
1.352000e+02 5.297165e-17 5.297165e-17 0.000000e+00
1.362000e+02 1.092133e-18 1.092133e-18 0.000000e+00
1.372000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.382000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.392000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.402000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.412000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.422000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.432000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.442000e+02 1.433750e-17 1.433750e-17 0.000000e+00
1.452000e+02 7.567379e-17 7.567379e-17 0.000000e+00
1.462000e+02 1.560190e-18 1.560190e-18 0.000000e+00
1.472000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.482000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.492000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.502000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.512000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.522000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.532000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.542000e+02 1.417820e-17 1.417820e-17 0.000000e+00
1.552000e+02 7.483297e-17 7.483297e-17 0.000000e+00
1.562000e+02 1.542855e-18 1.542855e-18 0.000000e+00
1.572000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.582000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.592000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.602000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.612000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.622000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.632000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.642000e+02 1.593056e-17 1.593056e-17 0.000000e+00
1.652000e+02 8.408199e-17 8.408199e-17 0.000000e+00
1.662000e+02 1.733545e-18 1.733545e-18 0.000000e+00
1.672000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.682000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.692000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.702000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.712000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.722000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.732000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.742000e+02 1.131070e-17 1.131070e-17 0.000000e+00
1.752000e+02 5.969821e-17 5.969821e-17 0.000000e+00
1.762000e+02 1.230817e-18 1.230817e-18 0.000000e+00
1.772000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.782000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.792000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.802000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.812000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.822000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.832000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.842000e+02 2.867501e-18 2.867501e-18 0.000000e+00
1.852000e+02 1.513476e-17 1.513476e-17 0.000000e+00
1.862000e+02 3.120380e-19 3.120380e-19 0.000000e+00
1.872000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.882000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.892000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.902000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.912000e+02 5.000000e-20 5.000000e-20 0.000000e+00
1.922000e+02 5.000000e-20 5.000000e-20 0.000000e+00
