# PH cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
1.172000e+02 3.408530e-26 3.408530e-26 0.000000e+00
1.182000e+02 1.179014e-20 1.179014e-20 0.000000e+00
1.192000e+02 1.593056e-17 1.593056e-17 0.000000e+00
1.202000e+02 8.408199e-17 8.408199e-17 0.000000e+00
1.212000e+02 1.733545e-18 1.733545e-18 0.000000e+00
1.222000e+02 1.396134e-22 1.396134e-22 0.000000e+00
1.232000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.242000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.252000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.262000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.272000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.282000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.292000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.302000e+02 6.666667e-21 6.666667e-21 0.000000e+00
1.312000e+02 4.000000e-20 4.000000e-20 0.000000e+00
1.322000e+02 7.333333e-20 7.333333e-20 0.000000e+00
1.332000e+02 1.377391e-19 1.377391e-19 0.000000e+00
1.342000e+02 3.264348e-19 3.264348e-19 0.000000e+00
1.352000e+02 5.151304e-19 5.151304e-19 0.000000e+00
1.362000e+02 7.826667e-19 7.826667e-19 0.000000e+00
1.372000e+02 1.058963e-18 1.058963e-18 0.000000e+00
1.382000e+02 1.349655e-18 1.349655e-18 0.000000e+00
1.392000e+02 1.697931e-18 1.697931e-18 0.000000e+00
1.402000e+02 2.046207e-18 2.046207e-18 0.000000e+00
1.412000e+02 2.445000e-18 2.445000e-18 0.000000e+00
1.422000e+02 2.961667e-18 2.961667e-18 0.000000e+00
1.432000e+02 3.478333e-18 3.478333e-18 0.000000e+00
1.442000e+02 4.123846e-18 4.123846e-18 0.000000e+00
1.452000e+02 5.070000e-18 5.070000e-18 0.000000e+00
1.462000e+02 6.016154e-18 6.016154e-18 0.000000e+00
1.472000e+02 7.376923e-18 7.376923e-18 0.000000e+00
1.482000e+02 8.915385e-18 8.915385e-18 0.000000e+00
1.492000e+02 1.042727e-17 1.042727e-17 0.000000e+00
1.502000e+02 1.170000e-17 1.170000e-17 0.000000e+00
1.512000e+02 1.297273e-17 1.297273e-17 0.000000e+00
1.522000e+02 1.412857e-17 1.412857e-17 0.000000e+00
1.532000e+02 1.427692e-17 1.427692e-17 0.000000e+00
1.542000e+02 1.317500e-17 1.317500e-17 0.000000e+00
1.552000e+02 1.105000e-17 1.105000e-17 0.000000e+00
1.562000e+02 9.148571e-18 9.148571e-18 0.000000e+00
1.572000e+02 7.396190e-18 7.396190e-18 0.000000e+00
1.582000e+02 6.200864e-18 6.200864e-18 0.000000e+00
1.592000e+02 5.562593e-18 5.562593e-18 0.000000e+00
1.602000e+02 4.924321e-18 4.924321e-18 0.000000e+00
1.612000e+02 4.286049e-18 4.286049e-18 0.000000e+00
1.622000e+02 3.647778e-18 3.647778e-18 0.000000e+00
1.632000e+02 3.009506e-18 3.009506e-18 0.000000e+00
1.642000e+02 2.371235e-18 2.371235e-18 0.000000e+00
1.652000e+02 1.732963e-18 1.732963e-18 0.000000e+00
1.662000e+02 1.305341e-18 1.305341e-18 0.000000e+00
1.672000e+02 1.193692e-18 1.193692e-18 0.000000e+00
1.682000e+02 1.082044e-18 1.082044e-18 0.000000e+00
1.692000e+02 9.703956e-19 9.703956e-19 0.000000e+00
1.702000e+02 8.587473e-19 8.587473e-19 0.000000e+00
1.712000e+02 7.470989e-19 7.470989e-19 0.000000e+00
1.722000e+02 6.354505e-19 6.354505e-19 0.000000e+00
1.732000e+02 5.238022e-19 5.238022e-19 0.000000e+00
1.742000e+02 4.121538e-19 4.121538e-19 0.000000e+00
1.752000e+02 3.263857e-19 3.263857e-19 0.000000e+00
1.762000e+02 3.010048e-19 3.010048e-19 0.000000e+00
1.772000e+02 2.756238e-19 2.756238e-19 0.000000e+00
1.782000e+02 2.502429e-19 2.502429e-19 0.000000e+00
1.792000e+02 2.248619e-19 2.248619e-19 0.000000e+00
1.802000e+02 1.994810e-19 1.994810e-19 0.000000e+00
1.812000e+02 1.741000e-19 1.741000e-19 0.000000e+00
1.822000e+02 1.487190e-19 1.487190e-19 0.000000e+00
1.832000e+02 1.233381e-19 1.233381e-19 0.000000e+00
1.842000e+02 9.795714e-20 9.795714e-20 0.000000e+00
1.852000e+02 7.257619e-20 7.257619e-20 0.000000e+00
1.862000e+02 4.719524e-20 4.719524e-20 0.000000e+00
1.872000e+02 2.181429e-20 2.181429e-20 0.000000e+00
1.882000e+02 1.022400e-20 1.022400e-20 0.000000e+00
1.892000e+02 4.544000e-21 4.544000e-21 0.000000e+00
