# SO cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
1.026000e+02 4.062907e-17 0.000000e+00 4.062907e-17
1.036000e+02 4.184725e-17 0.000000e+00 4.184725e-17
1.046000e+02 4.671387e-17 0.000000e+00 4.671387e-17
1.056000e+02 4.593251e-17 0.000000e+00 4.593251e-17
1.066000e+02 4.164034e-17 0.000000e+00 4.164034e-17
1.076000e+02 2.427213e-17 0.000000e+00 2.427213e-17
1.086000e+02 2.953536e-17 0.000000e+00 2.953536e-17
1.096000e+02 2.816944e-17 0.000000e+00 2.816944e-17
1.106000e+02 2.391531e-17 0.000000e+00 2.391531e-17
1.116000e+02 1.626536e-17 0.000000e+00 1.626536e-17
1.126000e+02 1.075731e-17 0.000000e+00 1.075731e-17
1.136000e+02 9.033670e-18 0.000000e+00 9.033670e-18
1.146000e+02 6.272248e-18 0.000000e+00 6.272248e-18
1.156000e+02 6.472291e-18 0.000000e+00 6.472291e-18
1.166000e+02 9.391347e-17 8.941324e-17 4.500236e-18
1.176000e+02 1.038196e-16 9.956935e-17 4.250280e-18
1.186000e+02 1.033597e-16 1.006576e-16 2.702078e-18
1.196000e+02 1.103014e-16 1.083522e-16 1.949178e-18
1.206000e+02 1.400463e-16 1.388977e-16 1.148624e-18
1.216000e+02 1.063923e-16 1.063923e-16 0.000000e+00
1.226000e+02 1.445710e-16 1.445710e-16 0.000000e+00
1.236000e+02 1.298495e-16 1.298495e-16 0.000000e+00
1.246000e+02 1.664881e-16 1.664881e-16 0.000000e+00
1.256000e+02 1.433214e-16 1.433214e-16 0.000000e+00
1.266000e+02 1.672184e-16 1.672184e-16 0.000000e+00
1.276000e+02 1.466502e-16 1.466502e-16 0.000000e+00
1.286000e+02 8.497829e-17 8.497829e-17 0.000000e+00
1.296000e+02 5.488920e-17 5.488920e-17 0.000000e+00
1.306000e+02 5.274406e-17 5.274406e-17 0.000000e+00
1.316000e+02 4.468833e-17 4.468833e-17 0.000000e+00
1.326000e+02 2.859923e-17 2.859923e-17 0.000000e+00
1.336000e+02 1.584748e-17 1.584748e-17 0.000000e+00
1.346000e+02 1.338402e-17 1.338402e-17 0.000000e+00
1.356000e+02 1.092055e-17 1.092055e-17 0.000000e+00
1.366000e+02 8.457082e-18 8.457082e-18 0.000000e+00
1.376000e+02 5.993615e-18 5.993615e-18 0.000000e+00
1.386000e+02 3.530148e-18 3.530148e-18 0.000000e+00
1.396000e+02 1.066681e-18 1.066681e-18 0.000000e+00
1.406000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.416000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.426000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.436000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.446000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.456000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.466000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.476000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.486000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.496000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.506000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.516000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.526000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.536000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.546000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.556000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.566000e+02 0.000000e+00 0.000000e+00 0.000000e+00
