# SiH+ cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
1.000000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.010000e+02 1.850000e-18 1.850000e-18 0.000000e+00
1.020000e+02 3.700000e-18 3.700000e-18 0.000000e+00
1.030000e+02 5.550000e-18 5.550000e-18 0.000000e+00
1.040000e+02 7.400000e-18 7.400000e-18 0.000000e+00
1.050000e+02 9.250000e-18 9.250000e-18 0.000000e+00
1.060000e+02 1.110000e-17 1.110000e-17 0.000000e+00
1.070000e+02 1.295000e-17 1.295000e-17 0.000000e+00
1.080000e+02 1.480000e-17 1.480000e-17 0.000000e+00
1.090000e+02 1.665000e-17 1.665000e-17 0.000000e+00
1.100000e+02 1.850000e-17 1.850000e-17 0.000000e+00
1.110000e+02 1.975000e-17 1.975000e-17 0.000000e+00
1.120000e+02 2.100000e-17 2.100000e-17 0.000000e+00
1.130000e+02 2.340000e-17 2.340000e-17 0.000000e+00
1.140000e+02 2.580000e-17 2.580000e-17 0.000000e+00
1.150000e+02 2.815000e-17 2.815000e-17 0.000000e+00
1.160000e+02 3.050000e-17 3.050000e-17 0.000000e+00
1.170000e+02 3.270000e-17 3.270000e-17 0.000000e+00
1.180000e+02 3.490000e-17 3.490000e-17 0.000000e+00
1.190000e+02 3.220000e-17 3.220000e-17 0.000000e+00
1.200000e+02 2.950000e-17 2.950000e-17 0.000000e+00
1.210000e+02 2.485000e-17 2.485000e-17 0.000000e+00
1.220000e+02 2.020000e-17 2.020000e-17 0.000000e+00
1.230000e+02 1.535000e-17 1.535000e-17 0.000000e+00
1.240000e+02 1.050000e-17 1.050000e-17 0.000000e+00
1.250000e+02 8.750000e-18 8.750000e-18 0.000000e+00
1.260000e+02 7.000000e-18 7.000000e-18 0.000000e+00
1.270000e+02 5.500000e-18 5.500000e-18 0.000000e+00
1.280000e+02 4.000000e-18 4.000000e-18 0.000000e+00
1.290000e+02 2.250000e-18 2.250000e-18 0.000000e+00
1.300000e+02 5.000000e-19 5.000000e-19 0.000000e+00
1.310000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.320000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.330000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.340000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.350000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.360000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.370000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.380000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.390000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.400000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.410000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.420000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.430000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.440000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.450000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.460000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.470000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.480000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.490000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.500000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.510000e+02 1.041667e-21 1.041667e-21 0.000000e+00
1.520000e+02 2.083333e-21 2.083333e-21 0.000000e+00
1.530000e+02 3.125000e-21 3.125000e-21 0.000000e+00
1.540000e+02 4.166667e-21 4.166667e-21 0.000000e+00
1.550000e+02 7.333333e-21 7.333333e-21 0.000000e+00
1.560000e+02 1.900000e-20 1.900000e-20 0.000000e+00
1.570000e+02 3.066667e-20 3.066667e-20 0.000000e+00
1.580000e+02 4.383533e-20 4.383533e-20 0.000000e+00
1.590000e+02 1.685438e-19 1.685438e-19 0.000000e+00
1.600000e+02 1.749117e-18 1.749117e-18 0.000000e+00
1.610000e+02 2.131867e-19 2.131867e-19 0.000000e+00
1.620000e+02 1.376729e-19 1.376729e-19 0.000000e+00
1.630000e+02 1.729412e-19 1.729412e-19 0.000000e+00
1.640000e+02 2.117647e-19 2.117647e-19 0.000000e+00
1.650000e+02 2.705882e-19 2.705882e-19 0.000000e+00
1.660000e+02 3.294118e-19 3.294118e-19 0.000000e+00
1.670000e+02 3.882353e-19 3.882353e-19 0.000000e+00
1.680000e+02 4.533333e-19 4.533333e-19 0.000000e+00
1.690000e+02 5.225000e-19 5.225000e-19 0.000000e+00
1.700000e+02 5.433333e-19 5.433333e-19 0.000000e+00
1.710000e+02 1.500000e-19 1.500000e-19 0.000000e+00
1.720000e+02 5.789474e-20 5.789474e-20 0.000000e+00
1.730000e+02 5.263158e-21 5.263158e-21 0.000000e+00
1.740000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.750000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.760000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.770000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.780000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.790000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.800000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.810000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.820000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.830000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.840000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.850000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.860000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.870000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.880000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.890000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.900000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.910000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.920000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.930000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.940000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.950000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.960000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.970000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.980000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.990000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.000000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.010000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.020000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.030000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.040000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.050000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.060000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.070000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.080000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.090000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.100000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.110000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.120000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.130000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.140000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.150000e+02 0.000000e+00 0.000000e+00 0.000000e+00
2.160000e+02 0.000000e+00 0.000000e+00 0.000000e+00
